Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Spannung U_A / V;Rate R_A / 1/s
;3;639;639;;
;2;640;640;;
;2;641;641;;
;0;642;642;;
;0;643;643;;
;3;644;644;;
;1;645;645;;
;0;646;646;;
;3;647;647;;
;1;648;648;;
;2;649;649;;
;0;650;650;;
;2;651;651;;
;1;652;652;;
;1;653;653;;
;1;654;654;;
;3;655;655;;
;1;656;656;;
;2;657;657;;
;1;658;658;;
;0;659;659;;
;2;660;660;;
;1;661;661;;
;0;662;662;;
;1;663;663;;
;0;664;664;;
;0;665;665;;
;0;666;666;;
;1;667;667;;
;0;668;668;;
;2;669;669;;
;0;670;670;;
;1;671;671;;
;2;672;672;;
;0;673;673;;
;2;674;674;;
;3;675;675;;
;2;676;676;;
;1;677;677;;
;2;678;678;;
;1;679;679;;
;0;680;680;;
;0;681;681;;
;0;682;682;;
;0;683;683;;
;0;684;684;;
;1;685;685;;
;4;686;686;;
;2;687;687;;
;0;688;688;;
;0;689;689;;
;2;690;690;;
;0;691;691;;
;0;692;692;;
;1;693;693;;
;4;694;694;;
;3;695;695;;
;2;696;696;;
;0;697;697;;
;1;698;698;;
;2;699;699;;
;2;700;700;;
;2;701;701;;
;2;702;702;;
;2;703;703;;
;0;704;704;;
;2;705;705;;
;1;706;706;;
;1;707;707;;
;1;708;708;;
;1;709;709;;
;2;710;710;;
;0;711;711;;
;1;712;712;;
;0;713;713;;
;0;714;714;;
;0;715;715;;
;0;716;716;;
;1;717;717;;
;0;718;718;;
;0;719;719;;
;1;720;720;;
;0;721;721;;
;0;722;722;;
;0;723;723;;
;1;724;724;;
;0;725;725;;
;1;726;726;;
;0;727;727;;
;0;728;728;;
;0;729;729;;
;0;730;730;;
;0;731;731;;
;2;732;732;;
;0;733;733;;
;0;734;734;;
;0;735;735;;
;1;736;736;;
;0;737;737;;
;0;738;738;;
;0;739;739;;
;0;740;740;;
;0;741;741;;
;1;742;742;;
;0;743;743;;
;0;744;744;;
;0;745;745;;
;0;746;746;;
;1;747;747;;
;1;748;748;;
;0;749;749;;
;0;750;750;;
;2;751;751;;
;0;752;752;;
;0;753;753;;
;0;754;754;;
;0;755;755;;
;3;756;756;;
;0;757;757;;
;1;758;758;;
;0;759;759;;
;1;760;760;;
;0;761;761;;
;0;762;762;;
;1;763;763;;
;2;764;764;;
;0;765;765;;
;0;766;766;;
;0;767;767;;
;1;768;768;;
;0;769;769;;
;0;770;770;;
;0;771;771;;
;2;772;772;;
;2;773;773;;
;1;774;774;;
;0;775;775;;
;1;776;776;;
;0;777;777;;
;0;778;778;;
;0;779;779;;
;1;780;780;;
;0;781;781;;
;1;782;782;;
;0;783;783;;
;0;784;784;;
;2;785;785;;
;0;786;786;;
;1;787;787;;
;0;788;788;;
;1;789;789;;
;0;790;790;;
;1;791;791;;
;0;792;792;;
;0;793;793;;
;0;794;794;;
;0;795;795;;
;0;796;796;;
;1;797;797;;
;0;798;798;;
;1;799;799;;
;0;800;800;;
;3;801;801;;
;2;802;802;;
;0;803;803;;
;0;804;804;;
;0;805;805;;
;2;806;806;;
;1;807;807;;
;0;808;808;;
;0;809;809;;
;0;810;810;;
;0;811;811;;
;0;812;812;;
;0;813;813;;
;1;814;814;;
;0;815;815;;
;0;816;816;;
;0;817;817;;
;1;818;818;;
;1;819;819;;
;0;820;820;;
;0;821;821;;
;1;822;822;;
;0;823;823;;
;0;824;824;;
;0;825;825;;
;0;826;826;;
;0;827;827;;
;2;828;828;;
;1;829;829;;
;2;830;830;;
;0;831;831;;
;0;832;832;;
;0;833;833;;
;1;834;834;;
;0;835;835;;
;0;836;836;;
;0;837;837;;
;0;838;838;;
;1;839;839;;
;2;840;840;;
;1;841;841;;
;2;842;842;;
;2;843;843;;
;1;844;844;;
;3;845;845;;
;1;846;846;;
;1;847;847;;
;0;848;848;;
;1;849;849;;
;0;850;850;;
;0;851;851;;
;0;852;852;;
;0;853;853;;
;0;854;854;;
;1;855;855;;
;1;856;856;;
;0;857;857;;
;0;858;858;;
;2;859;859;;
;1;860;860;;
;0;861;861;;
;1;862;862;;
;1;863;863;;
;0;864;864;;
;2;865;865;;
;0;866;866;;
;0;867;867;;
;0;868;868;;
;0;869;869;;
;0;870;870;;
;2;871;871;;
;0;872;872;;
;1;873;873;;
;0;874;874;;
;0;875;875;;
;1;876;876;;
;0;877;877;;
;0;878;878;;
;1;879;879;;
;0;880;880;;
;1;881;881;;
;0;882;882;;
;0;883;883;;
;3;884;884;;
;0;885;885;;
;1;886;886;;
;0;887;887;;
;0;888;888;;
;1;889;889;;
;0;890;890;;
;0;891;891;;
;0;892;892;;
;0;893;893;;
;0;894;894;;
;0;895;895;;
;0;896;896;;
;1;897;897;;
;0;898;898;;
;0;899;899;;
;0;900;900;;
;0;901;901;;
;0;902;902;;
;0;903;903;;
;0;904;904;;
;0;905;905;;
;0;906;906;;
;1;907;907;;
;1;908;908;;
;0;909;909;;
;0;910;910;;
;1;911;911;;
;0;912;912;;
;0;913;913;;
;1;914;914;;
;1;915;915;;
;0;916;916;;
;0;917;917;;
;0;918;918;;
;1;919;919;;
;0;920;920;;
;0;921;921;;
;0;922;922;;
;0;923;923;;
;1;924;924;;
;0;925;925;;
;0;926;926;;
;0;927;927;;
;1;928;928;;
;1;929;929;;
;0;930;930;;
;0;931;931;;
;0;932;932;;
;0;933;933;;
;0;934;934;;
;0;935;935;;
;0;936;936;;
;0;937;937;;
;0;938;938;;
;0;939;939;;
;0;940;940;;
;0;941;941;;
;0;942;942;;
;0;943;943;;
;1;944;944;;
;0;945;945;;
;0;946;946;;
;0;947;947;;
;0;948;948;;
;0;949;949;;
;0;950;950;;
;0;951;951;;
;0;952;952;;
;0;953;953;;
;0;954;954;;
;0;955;955;;
;0;956;956;;
;0;957;957;;
;0;958;958;;
;0;959;959;;
;0;960;960;;
;0;961;961;;
;0;962;962;;
;1;963;963;;
;0;964;964;;
;0;965;965;;
;0;966;966;;
;0;967;967;;
;0;968;968;;
;0;969;969;;
;0;970;970;;
;0;971;971;;
;0;972;972;;
;0;973;973;;
;0;974;974;;
;0;975;975;;
;0;976;976;;
;0;977;977;;
;0;978;978;;
;0;979;979;;
;0;980;980;;
;0;981;981;;
;0;982;982;;
;0;983;983;;
;0;984;984;;
;0;985;985;;
;0;986;986;;
;0;987;987;;
;0;988;988;;
;1;989;989;;
;0;990;990;;
;0;991;991;;
;0;992;992;;
;0;993;993;;
;0;994;994;;
;0;995;995;;
;0;996;996;;
;0;997;997;;
;0;998;998;;
;0;999;999;;
;0;1000;1000;;
;0;1001;1001;;
;0;1002;1002;;
;0;1003;1003;;
;1;1004;1004;;
;0;1005;1005;;
;1;1006;1006;;
;0;1007;1007;;
;0;1008;1008;;
;0;1009;1009;;
;0;1010;1010;;
;0;1011;1011;;
;0;1012;1012;;
;0;1013;1013;;
;0;1014;1014;;
;0;1015;1015;;
;0;1016;1016;;
;0;1017;1017;;
;0;1018;1018;;
;0;1019;1019;;
;0;1020;1020;;
;0;1021;1021;;
;0;1022;1022;;
;68;1023;1023;;
