Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
248,999;39;249;249;200,686325056408;-3,10416666666667
250;60;250;250;221,2542654018;-2,71614583333333
250,999;46;251;251;221,860871047766;-3,4921875
251,999;53;252;252;242,150108852478;-3,4921875
252,999;49;253;253;196,008898804006;-3,4921875
253,999;51;254;254;218,930795975392;-3,4921875
254,999;60;255;255;205,842139663092;-3,4921875
256;44;256;256;219,933602045542;-2,71614583333333
257;47;257;257;195,037642264957;-3,4921875
257,999;44;258;258;205,220345084517;-3,10416666666667
258,999;43;259;259;219,770705896848;-3,10416666666667
259,999;50;260;260;210,351750196679;-3,10416666666667
260,999;56;261;261;196,624610847124;-2,71614583333333
261,999;53;262;262;217,571230156616;-2,328125
263;41;263;263;192,953922603282;-3,4921875
263,999;52;264;264;208,168929085953;-3,4921875
265;51;265;265;180,92030050085;-3,4921875
266;33;266;266;199,998755563299;-3,4921875
266,999;40;267;267;178,860966704642;-3,4921875
268;44;268;268;194,416858852361;-3,4921875
269;50;269;269;200,999015104826;-3,4921875
269,999;37;270;270;217,243964972664;-3,4921875
270,999;36;271;271;198,003603665587;-2,71614583333333
272,001;42;272;272;206,512403563945;-3,4921875
272,999;43;273;273;215,406946803902;-3,10416666666667
273,999;38;274;274;237,137800776031;-3,4921875
275;33;275;275;219,8811322599;-3,10416666666667
276;26;276;276;201,870802686281;-3,4921875
276,999;38;277;277;207,093834216283;-3,4921875
277,999;40;278;278;209,003991976247;-3,4921875
278,999;32;279;279;179,217300977435;-3,10416666666667
279,999;34;280;280;217,769164685433;-3,4921875
280,999;29;281;281;207,042360867033;-3,10416666666667
281,999;32;282;282;239,84332900764;-3,4921875
283;41;283;283;208,888285433842;-2,71614583333333
283,999;35;284;284;231,40910816232;-3,4921875
284,999;25;285;285;223,057312301433;-3,10416666666667
285,999;37;286;286;215,498831474249;-3,4921875
286,999;35;287;287;209,918901331119;-3,10416666666667
288;38;288;288;198,835777643394;-3,4921875
289;32;289;289;203,228367716803;-3,10416666666667
289,999;38;290;290;179,71562996818;-3,10416666666667
291,002;35;291;291;198,201590838041;-3,10416666666667
292;29;292;292;201,100966684569;-3,10416666666667
293;36;293;293;207,873862140453;-3,4921875
294;36;294;294;184,979485775028;-3,10416666666667
294,999;35;295;295;222,282899446125;-3,10416666666667
296;27;296;296;178,678524705802;-3,4921875
296,999;37;297;297;208,65890041199;-3,4921875
298;46;298;298;196,785543115113;-3,4921875
298,999;27;299;299;215,15779672812;-3,4921875
300;27;300;300;205,806027818781;-3,4921875
;29;301;301;;
;32;302;302;;
;31;303;303;;
;39;304;304;;
;32;305;305;;
;39;306;306;;
;29;307;307;;
;23;308;308;;
;43;309;309;;
;32;310;310;;
;31;311;311;;
;29;312;312;;
;23;313;313;;
;22;314;314;;
;36;315;315;;
;36;316;316;;
;36;317;317;;
