Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
167,999;314;168;168;614,192180733352;-3,10416666666667
168,999;310;169;169;619,487683685592;-3,4921875
169,998;324;170;170;611,434913654082;-3,4921875
170,999;335;171;171;575,167700802648;-3,4921875
171,999;316;172;172;608,28175610943;-3,4921875
172,999;332;173;173;618,745133769476;-3,4921875
173,998;289;174;174;635,013779799022;-2,71614583333333
174,998;284;175;175;605,257960942954;-3,10416666666667
175,998;294;176;176;615,172918000559;-3,4921875
176,999;306;177;177;603,460077963439;-3,4921875
177,999;275;178;178;679,668095413406;-3,4921875
178,998;286;179;179;635,468072784202;-3,4921875
179,999;278;180;180;672,219159890494;-3,4921875
180,999;261;181;181;613,2830301184;-3,4921875
181,999;282;182;182;643,500772301005;-3,4921875
182,998;279;183;183;618,129413882365;-3,4921875
183,998;297;184;184;599,563889838393;-3,10416666666667
184,998;275;185;185;657,38794672537;-3,4921875
185,999;247;186;186;576,228128716159;-3,4921875
186,999;248;187;187;611,690255596605;-3,4921875
188;275;188;188;607,226616973454;-3,4921875
188,999;254;189;189;611,08822925186;-3,4921875
189,999;308;190;190;575,234894059611;-3,10416666666667
190,999;283;191;191;622,928923809793;-3,4921875
191,999;303;192;192;643,717036406854;-3,4921875
192,998;255;193;193;600,416096123398;-3,4921875
193,998;280;194;194;606,252018964283;-2,71614583333333
194,998;270;195;195;603,065794478178;-3,4921875
195,998;211;196;196;645,081602822757;-3,10416666666667
196,999;276;197;197;662,063822952533;-3,4921875
197,999;235;198;198;616,595826657248;-3,4921875
198,999;260;199;199;618,836012789574;-3,4921875
199,998;276;200;200;629,553786266379;-3,10416666666667
200,998;253;201;201;597,741780439445;-3,4921875
201,999;252;202;202;593,692423473497;-3,4921875
202,999;256;203;203;594,364205276732;-3,4921875
203,999;247;204;204;647,0555820745;-3,10416666666667
204,999;261;205;205;636,528637033056;-3,4921875
205,999;247;206;206;639,132413256361;-3,10416666666667
206,999;273;207;207;600,805634823894;-3,4921875
207,999;252;208;208;609,002051976322;-3,10416666666667
208,999;256;209;209;536,882317725403;-3,4921875
209,999;231;210;210;607,713022579039;-3,4921875
210,999;224;211;211;614,42782609531;-3,4921875
211,999;257;212;212;606,125733123506;-3,4921875
212,998;261;213;213;611,027679553884;-3,4921875
213,999;250;214;214;608,381150790971;-3,4921875
214,999;231;215;215;663,718052571268;-3,4921875
215,999;229;216;216;619,922027584975;-3,4921875
216,999;251;217;217;605,009680154883;-3,10416666666667
217,999;231;218;218;625,237152451925;-3,4921875
218,999;232;219;219;620,810225088685;-3,4921875
219,999;227;220;220;608,386325316576;-3,4921875
220,999;234;221;221;607,918174213751;-3,4921875
221,999;237;222;222;584,046548509916;-3,4921875
222,999;240;223;223;577,689968902505;-3,4921875
223,999;224;224;224;582,16762783579;-3,4921875
225;215;225;225;567,029372121476;-2,71614583333333
225,999;243;226;226;627,484881779072;-3,10416666666667
226,998;203;227;227;589,165555521102;-3,4921875
227,999;247;228;228;615,004674035523;-3,4921875
228,999;242;229;229;659,81803684806;-2,71614583333333
229,998;243;230;230;605,638767207774;-3,10416666666667
230,999;212;231;231;658,212392818492;-3,10416666666667
231,998;244;232;232;619,799529285583;-3,4921875
232,999;223;233;233;616,365566417442;-2,328125
233,999;215;234;234;603,171549319994;-3,4921875
234,998;203;235;235;569,055539820686;-3,4921875
235,999;236;236;236;626,246365320117;-3,4921875
236,999;231;237;237;641,009546709599;-3,4921875
237,998;231;238;238;624,817207731781;-3,4921875
239;216;239;239;625,493177312881;-3,4921875
239,999;226;240;240;648,858104176613;-3,4921875
240,998;201;241;241;588,725550255668;-3,10416666666667
241,999;197;242;242;653,418906861189;-3,4921875
242,999;223;243;243;644,532125722997;-3,4921875
243,999;221;244;244;618,457411767945;-3,4921875
244,998;203;245;245;625,167187805886;-3,4921875
245,999;223;246;246;606,21029435111;-3,4921875
246,999;223;247;247;662,131300636916;-3,10416666666667
247,999;206;248;248;639,974827656779;-3,4921875
248,999;228;249;249;581,09451763433;-3,4921875
249,999;216;250;250;646,564021880046;-3,10416666666667
250,998;207;251;251;662,212172780159;-3,4921875
251,998;190;252;252;630,023814900203;-3,4921875
252,999;265;253;253;669,916558170921;-3,4921875
253,999;248;254;254;557,761416776219;-3,4921875
254,998;236;255;255;614,316120632579;-3,4921875
255,998;222;256;256;608,813666578085;-3,4921875
256,998;220;257;257;615,493810684312;-3,4921875
258;206;258;258;686,243254578592;-3,4921875
259;215;259;259;628,267516308444;-3,10416666666667
259,998;229;260;260;607,501229717983;-3,4921875
260,999;187;261;261;588,158096896446;-3,4921875
261,999;205;262;262;624,976875855593;-3,4921875
262,998;192;263;263;597,773062012511;-2,71614583333333
263,998;193;264;264;628,528529640575;-3,4921875
264,999;201;265;265;611,771210890638;-3,4921875
265,999;194;266;266;558,655700491787;-3,4921875
266,999;214;267;267;617,435415454979;-3,4921875
267,999;215;268;268;597,329714122218;-3,4921875
268,998;202;269;269;643,174887567119;-3,4921875
269,999;231;270;270;603,599405277057;-2,328125
270,998;214;271;271;609,791112666628;-3,10416666666667
271,999;200;272;272;638,304202239637;-3,4921875
272,999;241;273;273;622,371431270182;-3,4921875
273,999;190;274;274;603,113464969049;-3,10416666666667
274,998;198;275;275;615,336974188169;-3,10416666666667
275,999;210;276;276;644,161156682428;-3,4921875
276,999;197;277;277;658,542705043226;-3,4921875
277,999;204;278;278;617,228312752887;-3,4921875
278,998;189;279;279;639,001980906141;-2,328125
279,999;206;280;280;607,409552608996;-3,4921875
280,998;206;281;281;629,713087099832;-3,4921875
281,999;213;282;282;618,232600637057;-3,4921875
282,999;204;283;283;624,524725674512;-3,4921875
283,998;204;284;284;605,01923961182;-3,4921875
284,999;174;285;285;619,90695196651;-3,4921875
285,999;215;286;286;646,02681011262;-3,4921875
286,999;197;287;287;626,94723021103;-3,4921875
287,999;194;288;288;652,492118977678;-3,4921875
288,999;174;289;289;623,033308182482;-3,4921875
289,999;184;290;290;658,460158163685;-3,4921875
290,999;236;291;291;667,159451108815;-3,10416666666667
291,999;198;292;292;615,531207876666;-3,4921875
292,999;215;293;293;661,115166261963;-3,4921875
294;214;294;294;617,714290475701;-3,4921875
294,998;190;295;295;634,723704771313;-3,10416666666667
