Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s;Spannung U_A / V
199,998;1125;200;200;1748,69430824984;-3,4921875
200,999;1050;201;201;1779,47191595211;-3,4921875
201,999;1047;202;202;1580,91209184444;-3,10416666666667
202,999;1075;203;203;1709,14504766616;-3,10416666666667
203,999;1098;204;204;1733,53687637061;-3,4921875
204,999;1065;205;205;1750,97570232346;-3,4921875
205,999;1161;206;206;1573,24575598625;-3,4921875
206,999;1178;207;207;1728,79565635342;-3,4921875
207,998;1108;208;208;1716,4721181994;-3,10416666666667
208,999;1136;209;209;1738,29393367496;-3,4921875
209,999;1115;210;210;1759,35030135629;-3,4921875
210,998;1141;211;211;1710,94914125907;-3,4921875
211,999;1126;212;212;1757,75708863015;-3,4921875
212,998;1105;213;213;1765,76881574237;-3,4921875
213,999;1139;214;214;1769,91698779517;-3,4921875
214,999;1088;215;215;1632,11375442602;-3,10416666666667
215,998;1152;216;216;1769,09294562181;-3,4921875
216,999;1094;217;217;1720,75933252125;-3,4921875
217,998;1014;218;218;1739,04330217822;-3,4921875
218,999;1104;219;219;1759,93195670012;-3,10416666666667
219,999;1041;220;220;1761,29860546181;-3,4921875
220,998;1066;221;221;1741,57938592;-3,4921875
221,999;1073;222;222;1741,53722793892;-3,10416666666667
222,999;1080;223;223;1800,29116882628;-3,4921875
223,998;1066;224;224;1784,81485738974;-3,4921875
224,999;1070;225;225;1764,38975369659;-3,4921875
225,998;1126;226;226;1740,24356528849;-3,4921875
226,999;1102;227;227;1777,01673629402;-3,4921875
227,999;1095;228;228;1754,95133038425;-3,4921875
228,998;1059;229;229;1696,48064037096;-3,4921875
229,998;1137;230;230;1757,56355030948;-3,4921875
230,999;1066;231;231;1721,4003026987;-3,4921875
231,999;1070;232;232;1743,79768102937;-3,4921875
232,999;1027;233;233;1747,20774300064;-3,10416666666667
233,999;1070;234;234;1748,17726517469;-3,4921875
234,999;1121;235;235;1677,78472012252;-3,4921875
235,998;1027;236;236;1760,38574991281;-3,4921875
236,998;1113;237;237;1733,0428740171;-3,4921875
238;1093;238;238;1779,13023233301;-3,4921875
238,999;1046;239;239;1643,93507026797;-3,4921875
239,998;1106;240;240;1760,96743509319;-3,4921875
240,998;1060;241;241;1697,49498383226;-3,4921875
241,998;1092;242;242;1716,33808327584;-3,4921875
242,999;1106;243;243;1699,93588876668;-2,71614583333333
243,999;1123;244;244;1754,46616165915;-3,4921875
244,998;1107;245;245;1792,18154799081;-3,4921875
245,998;1085;246;246;1776,64060927106;-3,4921875
246,999;1089;247;247;1763,64850485298;-3,4921875
247,999;1071;248;248;1725,03777832735;-3,4921875
248,999;1102;249;249;1546,25192753855;-3,4921875
249,999;1036;250;250;1743,66868492227;-3,4921875
250,999;1107;251;251;1749,92545073611;-3,4921875
251,999;1120;252;252;1708,46401882751;-3,4921875
252,999;1032;253;253;1764,84451930811;-3,10416666666667
253,999;1193;254;254;1771,36838207515;-3,4921875
254,999;1122;255;255;1710,25296095174;-3,4921875
255,999;1045;256;256;1814,9873531201;-3,4921875
257;1065;257;257;1719,64779132299;-3,4921875
257,999;1133;258;258;1752,85889285967;-3,4921875
258,999;1054;259;259;1697,5468046484;-3,4921875
259,999;1070;260;260;1787,33787679802;-3,4921875
260,999;1170;261;261;1745,14048380895;-3,4921875
261,999;1086;262;262;1768,46209914651;-3,4921875
262,999;1107;263;263;1753,127456141;-3,4921875
264;1122;264;264;1745,31450567392;-3,4921875
264,999;1154;265;265;1790,42622578152;-3,4921875
265,998;1089;266;266;1724,44387685809;-3,4921875
266,999;1076;267;267;1709,57493004898;-3,4921875
267,998;1082;268;268;1756,59785243679;-3,4921875
268,998;1068;269;269;1768,89395475736;-2,71614583333333
269,998;1112;270;270;1792,00949765034;-3,4921875
270,998;1114;271;271;1750,35462184639;-3,4921875
271,999;1067;272;272;1730,52088678692;-2,71614583333333
272,998;1059;273;273;1726,47754835303;-3,10416666666667
273,999;1076;274;274;1815,28306139823;-3,4921875
274,998;1024;275;275;1715,44165072342;-3,4921875
275,998;1009;276;276;1840,12235203395;-3,4921875
276,999;1005;277;277;1796,0523701342;-3,4921875
277,999;1041;278;278;1773,53447685893;-3,4921875
278,999;949;279;279;1792,14474311426;-3,4921875
279,998;930;280;280;1740,93941090613;-3,4921875
280,999;935;281;281;1727,1525485552;-3,4921875
281,999;865;282;282;1543,78750297362;-3,4921875
282,999;895;283;283;1716,72942811776;-3,4921875
283,998;865;284;284;1472,00763622014;-3,4921875
284,999;825;285;285;1747,72635507317;-3,4921875
285,999;771;286;286;1706,70520837127;-3,10416666666667
286,999;709;287;287;1833,80797579414;-3,4921875
287,999;750;288;288;1715,08809876597;-3,4921875
288,999;702;289;289;1789,17712853573;-3,10416666666667
289,999;693;290;290;1817,99091004545;-3,4921875
290,998;622;291;291;1819,92720291188;-3,4921875
291,999;611;292;292;1756,1815702907;-3,4921875
292,999;594;293;293;1758,36222261786;-3,4921875
293,998;560;294;294;1832,44785380931;-3,4921875
294,999;551;295;295;1788,13446771197;-3,4921875
295,999;509;296;296;1740,06003207111;-3,4921875
296,999;407;297;297;1835,28143702203;-3,4921875
297,999;455;298;298;1741,72605051606;-3,4921875
298,999;403;299;299;1833,16488584882;-3,4921875
299,998;356;300;300;1709,14596106507;-3,4921875
;378;301;301;;
;401;302;302;;
;357;303;303;;
;342;304;304;;
;324;305;305;;
;335;306;306;;
;295;307;307;;
;276;308;308;;
;259;309;309;;
;283;310;310;;
;264;311;311;;
;230;312;312;;
;220;313;313;;
;251;314;314;;
;209;315;315;;
;205;316;316;;
;206;317;317;;
;201;318;318;;
;200;319;319;;
;197;320;320;;
;177;321;321;;
;160;322;322;;
;169;323;323;;
;137;324;324;;
;170;325;325;;
;170;326;326;;
;155;327;327;;
;166;328;328;;
;129;329;329;;
;145;330;330;;
;126;331;331;;
;114;332;332;;
;140;333;333;;
;122;334;334;;
;130;335;335;;
;130;336;336;;
;135;337;337;;
;124;338;338;;
;111;339;339;;
;114;340;340;;
;114;341;341;;
;98;342;342;;
;106;343;343;;
;105;344;344;;
;108;345;345;;
;82;346;346;;
;100;347;347;;
;103;348;348;;
;90;349;349;;
;103;350;350;;
;120;351;351;;
;112;352;352;;
;116;353;353;;
;117;354;354;;
;109;355;355;;
;144;356;356;;
;105;357;357;;
;149;358;358;;
;127;359;359;;
;136;360;360;;
;170;361;361;;
;170;362;362;;
;164;363;363;;
;176;364;364;;
;208;365;365;;
;209;366;366;;
;244;367;367;;
;297;368;368;;
;305;369;369;;
;355;370;370;;
;414;371;371;;
;425;372;372;;
;478;373;373;;
;536;374;374;;
;650;375;375;;
;682;376;376;;
;762;377;377;;
;853;378;378;;
;922;379;379;;
;1086;380;380;;
;1227;381;381;;
;1323;382;382;;
;1370;383;383;;
;1587;384;384;;
;1592;385;385;;
;1719;386;386;;
;1939;387;387;;
;2021;388;388;;
;2149;389;389;;
;2266;390;390;;
;2612;391;391;;
;2653;392;392;;
;2726;393;393;;
;2918;394;394;;
;2959;395;395;;
;3151;396;396;;
;3123;397;397;;
;3236;398;398;;
;3340;399;399;;
;3283;400;400;;
;3391;401;401;;
;3406;402;402;;
;3328;403;403;;
;3284;404;404;;
;3193;405;405;;
;3032;406;406;;
;3043;407;407;;
;3018;408;408;;
;2755;409;409;;
;2611;410;410;;
;2626;411;411;;
;2445;412;412;;
;2168;413;413;;
;2173;414;414;;
;1947;415;415;;
;1773;416;416;;
;1593;417;417;;
;1432;418;418;;
;1393;419;419;;
;1206;420;420;;
;1066;421;421;;
;911;422;422;;
;818;423;423;;
;699;424;424;;
;615;425;425;;
;549;426;426;;
;457;427;427;;
;370;428;428;;
;334;429;429;;
;276;430;430;;
;252;431;431;;
;214;432;432;;
;162;433;433;;
;157;434;434;;
;94;435;435;;
;86;436;436;;
;71;437;437;;
;58;438;438;;
;47;439;439;;
;45;440;440;;
;38;441;441;;
;20;442;442;;
;34;443;443;;
;13;444;444;;
;19;445;445;;
;18;446;446;;
;13;447;447;;
;9;448;448;;
;15;449;449;;
;10;450;450;;
;9;451;451;;
;8;452;452;;
;9;453;453;;
;6;454;454;;
;11;455;455;;
;15;456;456;;
;4;457;457;;
;5;458;458;;
;5;459;459;;
;3;460;460;;
;7;461;461;;
;6;462;462;;
;7;463;463;;
;13;464;464;;
;15;465;465;;
;13;466;466;;
;15;467;467;;
;12;468;468;;
;6;469;469;;
;6;470;470;;
;9;471;471;;
;4;472;472;;
;9;473;473;;
;11;474;474;;
;8;475;475;;
;9;476;476;;
;6;477;477;;
;6;478;478;;
;5;479;479;;
;7;480;480;;
;8;481;481;;
;7;482;482;;
;10;483;483;;
;6;484;484;;
;6;485;485;;
;6;486;486;;
;12;487;487;;
;15;488;488;;
;6;489;489;;
;14;490;490;;
;15;491;491;;
;6;492;492;;
;8;493;493;;
;6;494;494;;
;9;495;495;;
;7;496;496;;
;7;497;497;;
;10;498;498;;
;8;499;499;;
;6;500;500;;
;5;501;501;;
;8;502;502;;
;11;503;503;;
;9;504;504;;
;7;505;505;;
;8;506;506;;
;9;507;507;;
;11;508;508;;
;11;509;509;;
;9;510;510;;
;7;511;511;;
;10;512;512;;
;4;513;513;;
;7;514;514;;
;5;515;515;;
;6;516;516;;
;8;517;517;;
;10;518;518;;
;4;519;519;;
;10;520;520;;
;6;521;521;;
;10;522;522;;
;9;523;523;;
;3;524;524;;
;7;525;525;;
;10;526;526;;
;14;527;527;;
;5;528;528;;
;6;529;529;;
;6;530;530;;
;3;531;531;;
;7;532;532;;
;8;533;533;;
;8;534;534;;
;5;535;535;;
;8;536;536;;
;6;537;537;;
;9;538;538;;
;7;539;539;;
;5;540;540;;
;5;541;541;;
;3;542;542;;
;8;543;543;;
