Zeit t / s;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Spannung U_A / V;Rate R_A / 1/s
247,999;41;248;248;-3,4921875;184,438685858808
248,999;33;249;249;-3,10416666666667;185,936316811492
249,999;33;250;250;-2,71614583333333;199,987356354915
250,998;43;251;251;-3,4921875;207,27760689892
251,999;36;252;252;-3,4921875;192,896260391162
252,998;31;253;253;-3,10416666666667;195,976365250351
253,999;38;254;254;-3,10416666666667;198,002138423095
254,999;31;255;255;-3,4921875;188,026417711689
255,999;25;256;256;-3,4921875;204,443694817563
256,999;38;257;257;-3,4921875;192,869658684661
257,999;39;258;258;-3,4921875;192,220322934147
258,999;28;259;259;-2,71614583333333;183,264955142292
259,999;36;260;260;-3,10416666666667;190,922734013551
260,998;43;261;261;-3,10416666666667;179,949534152866
261,999;35;262;262;-3,4921875;209,96287856307
262,999;40;263;263;-3,4921875;188,995142824829
263,999;40;264;264;-3,4921875;161,170760420666
264,999;24;265;265;-3,4921875;155,962444243426
265,999;27;266;266;-3,4921875;176,64713734426
266,999;37;267;267;-3,10416666666667;173,242631191314
267,999;29;268;268;-3,4921875;188,178430788073
268,999;31;269;269;-3,10416666666667;186,938870989187
269,999;39;270;270;-3,4921875;197,699466822309
270,998;39;271;271;-3,10416666666667;185,015911368378
271,999;44;272;272;-3,4921875;189,935573853349
272,999;33;273;273;-3,4921875;197,246617445792
273,999;47;274;274;-3,4921875;204,988233675387
274,999;31;275;275;-3,10416666666667;175,371143055791
275,999;37;276;276;-3,4921875;189,990500474976
276,998;36;277;277;-3,4921875;176,204061924114
277,999;35;278;278;-3,4921875;200,820346118363
278,998;37;279;279;-3,4921875;201,109906563937
279,999;40;280;280;-3,4921875;222,075874221111
280,998;35;281;281;-2,71614583333333;207,999126403669
281,999;39;282;282;-2,71614583333333;208,867120293463
282,999;47;283;283;-3,4921875;189,990204949434
283,999;39;284;284;-3,4921875;190,939965255587
284,999;49;285;285;-3,10416666666667;185,09825015118
285,998;53;286;286;-3,4921875;184,354888936175
286,999;50;287;287;-2,71614583333333;199,170450071171
287,998;47;288;288;-2,71614583333333;185,326121816746
288,999;72;289;289;-3,4921875;184,307683246412
289,999;67;290;290;-3,4921875;190,975645719747
290,999;73;291;291;-3,10416666666667;191,974021143331
291,999;92;292;292;-3,4921875;178,244890655271
292,999;110;293;293;-3,10416666666667;186,565568857853
293,998;103;294;294;-3,4921875;163,288066252744
294,998;103;295;295;-3,4921875;184,071880069167
295,999;117;296;296;-3,4921875;193,317545733765
296,999;125;297;297;-3,4921875;207,652724692463
297,999;100;298;298;-3,10416666666667;176,103936543348
298,999;173;299;299;-3,10416666666667;164,992855809343
299,999;178;300;300;-3,4921875;171,102765098458
;193;301;301;;
;209;302;302;;
;253;303;303;;
;254;304;304;;
;282;305;305;;
;249;306;306;;
;282;307;307;;
;303;308;308;;
;289;309;309;;
;304;310;310;;
;316;311;311;;
;316;312;312;;
;322;313;313;;
;321;314;314;;
;336;315;315;;
;304;316;316;;
;331;317;317;;
;306;318;318;;
;329;319;319;;
;281;320;320;;
;265;321;321;;
;274;322;322;;
;203;323;323;;
;220;324;324;;
;237;325;325;;
;177;326;326;;
;168;327;327;;
;158;328;328;;
;136;329;329;;
;116;330;330;;
;109;331;331;;
;81;332;332;;
;72;333;333;;
;72;334;334;;
;61;335;335;;
;51;336;336;;
;39;337;337;;
;31;338;338;;
;40;339;339;;
;31;340;340;;
;35;341;341;;
;30;342;342;;
;23;343;343;;
;22;344;344;;
;23;345;345;;
;19;346;346;;
;20;347;347;;
;16;348;348;;
;23;349;349;;
;23;350;350;;
;18;351;351;;
;12;352;352;;
;23;353;353;;
;24;354;354;;
;13;355;355;;
;13;356;356;;
;19;357;357;;
;20;358;358;;
;15;359;359;;
;18;360;360;;
;29;361;361;;
;9;362;362;;
;18;363;363;;
;16;364;364;;
;22;365;365;;
;13;366;366;;
;16;367;367;;
;10;368;368;;
;18;369;369;;
;22;370;370;;
;20;371;371;;
;14;372;372;;
;12;373;373;;
;22;374;374;;
;24;375;375;;
;24;376;376;;
;20;377;377;;
;15;378;378;;
;25;379;379;;
;22;380;380;;
;30;381;381;;
;26;382;382;;
;19;383;383;;
;24;384;384;;
;25;385;385;;
;28;386;386;;
;23;387;387;;
;27;388;388;;
;32;389;389;;
;36;390;390;;
;26;391;391;;
;28;392;392;;
;34;393;393;;
;29;394;394;;
;28;395;395;;
;28;396;396;;
;27;397;397;;
;28;398;398;;
;20;399;399;;
;39;400;400;;
;32;401;401;;
;30;402;402;;
;31;403;403;;
;30;404;404;;
;33;405;405;;
;31;406;406;;
;31;407;407;;
;21;408;408;;
;33;409;409;;
;26;410;410;;
;30;411;411;;
;23;412;412;;
;26;413;413;;
;24;414;414;;
;25;415;415;;
;15;416;416;;
;28;417;417;;
;23;418;418;;
;22;419;419;;
;11;420;420;;
;10;421;421;;
;17;422;422;;
;18;423;423;;
;12;424;424;;
;19;425;425;;
;16;426;426;;
;18;427;427;;
;23;428;428;;
;8;429;429;;
;15;430;430;;
;14;431;431;;
;16;432;432;;
;17;433;433;;
;19;434;434;;
;14;435;435;;
;15;436;436;;
;10;437;437;;
;14;438;438;;
;14;439;439;;
;11;440;440;;
;15;441;441;;
;15;442;442;;
;12;443;443;;
;14;444;444;;
;15;445;445;;
;16;446;446;;
;12;447;447;;
;16;448;448;;
;5;449;449;;
;13;450;450;;
;14;451;451;;
;14;452;452;;
;19;453;453;;
;13;454;454;;
;15;455;455;;
;12;456;456;;
;13;457;457;;
;6;458;458;;
;15;459;459;;
;13;460;460;;
;15;461;461;;
;8;462;462;;
;15;463;463;;
;12;464;464;;
;16;465;465;;
;14;466;466;;
;13;467;467;;
;12;468;468;;
;9;469;469;;
;9;470;470;;
;8;471;471;;
;6;472;472;;
;14;473;473;;
;7;474;474;;
;15;475;475;;
;17;476;476;;
;8;477;477;;
;15;478;478;;
;20;479;479;;
;12;480;480;;
;17;481;481;;
;13;482;482;;
;7;483;483;;
;14;484;484;;
;13;485;485;;
;16;486;486;;
;12;487;487;;
;11;488;488;;
;12;489;489;;
;13;490;490;;
;15;491;491;;
;13;492;492;;
;12;493;493;;
;12;494;494;;
;11;495;495;;
;11;496;496;;
;10;497;497;;
;10;498;498;;
;14;499;499;;
;15;500;500;;
;19;501;501;;
;17;502;502;;
;13;503;503;;
;16;504;504;;
;11;505;505;;
;13;506;506;;
;8;507;507;;
;15;508;508;;
;10;509;509;;
;18;510;510;;
;12;511;511;;
;14;512;512;;
;15;513;513;;
;12;514;514;;
;12;515;515;;
;15;516;516;;
;14;517;517;;
;9;518;518;;
;13;519;519;;
;10;520;520;;
;23;521;521;;
;13;522;522;;
;19;523;523;;
;19;524;524;;
;11;525;525;;
;7;526;526;;
;16;527;527;;
;17;528;528;;
;9;529;529;;
;13;530;530;;
;14;531;531;;
;18;532;532;;
;17;533;533;;
;17;534;534;;
;15;535;535;;
;14;536;536;;
;12;537;537;;
;12;538;538;;
;19;539;539;;
;15;540;540;;
;12;541;541;;
;21;542;542;;
;11;543;543;;
;13;544;544;;
;18;545;545;;
;15;546;546;;
;20;547;547;;
;15;548;548;;
;20;549;549;;
;13;550;550;;
;13;551;551;;
;16;552;552;;
;22;553;553;;
;17;554;554;;
;11;555;555;;
;18;556;556;;
;13;557;557;;
;11;558;558;;
;17;559;559;;
;16;560;560;;
;18;561;561;;
;15;562;562;;
;14;563;563;;
;11;564;564;;
;16;565;565;;
;9;566;566;;
;24;567;567;;
;15;568;568;;
;13;569;569;;
;21;570;570;;
;19;571;571;;
;10;572;572;;
;20;573;573;;
;15;574;574;;
;15;575;575;;
;20;576;576;;
;15;577;577;;
;14;578;578;;
;14;579;579;;
;21;580;580;;
;16;581;581;;
;11;582;582;;
;11;583;583;;
;17;584;584;;
;20;585;585;;
;15;586;586;;
;15;587;587;;
;12;588;588;;
;16;589;589;;
;14;590;590;;
;11;591;591;;
;19;592;592;;
;17;593;593;;
;11;594;594;;
;15;595;595;;
;13;596;596;;
;14;597;597;;
;12;598;598;;
;18;599;599;;
;14;600;600;;
;14;601;601;;
;18;602;602;;
;13;603;603;;
;17;604;604;;
;13;605;605;;
;15;606;606;;
;12;607;607;;
;19;608;608;;
;13;609;609;;
;15;610;610;;
;13;611;611;;
;15;612;612;;
;14;613;613;;
;6;614;614;;
;13;615;615;;
;12;616;616;;
;16;617;617;;
;11;618;618;;
;5;619;619;;
;5;620;620;;
;10;621;621;;
;14;622;622;;
;13;623;623;;
;13;624;624;;
;11;625;625;;
;9;626;626;;
;12;627;627;;
;11;628;628;;
;10;629;629;;
;12;630;630;;
;12;631;631;;
;8;632;632;;
;3;633;633;;
;13;634;634;;
;8;635;635;;
;13;636;636;;
;6;637;637;;
;6;638;638;;
;10;639;639;;
;6;640;640;;
;2;641;641;;
;9;642;642;;
;6;643;643;;
;4;644;644;;
;3;645;645;;
;5;646;646;;
;5;647;647;;
;8;648;648;;
;5;649;649;;
;8;650;650;;
;8;651;651;;
;6;652;652;;
;7;653;653;;
;2;654;654;;
;8;655;655;;
;6;656;656;;
;8;657;657;;
;5;658;658;;
;7;659;659;;
;0;660;660;;
;5;661;661;;
;1;662;662;;
;2;663;663;;
;6;664;664;;
;3;665;665;;
;3;666;666;;
;4;667;667;;
;8;668;668;;
;4;669;669;;
;4;670;670;;
;4;671;671;;
;9;672;672;;
;4;673;673;;
;8;674;674;;
;6;675;675;;
;4;676;676;;
;4;677;677;;
;7;678;678;;
;7;679;679;;
;6;680;680;;
;6;681;681;;
;6;682;682;;
;3;683;683;;
;5;684;684;;
;5;685;685;;
;2;686;686;;
;3;687;687;;
;5;688;688;;
;4;689;689;;
;2;690;690;;
;7;691;691;;
;6;692;692;;
;5;693;693;;
;9;694;694;;
;1;695;695;;
;3;696;696;;
;8;697;697;;
;3;698;698;;
;5;699;699;;
;3;700;700;;
;0;701;701;;
;1;702;702;;
;2;703;703;;
;5;704;704;;
;6;705;705;;
;4;706;706;;
;7;707;707;;
;7;708;708;;
;3;709;709;;
;5;710;710;;
;5;711;711;;
;12;712;712;;
;6;713;713;;
;10;714;714;;
;6;715;715;;
;5;716;716;;
;8;717;717;;
;6;718;718;;
;8;719;719;;
;13;720;720;;
;8;721;721;;
;10;722;722;;
;6;723;723;;
;16;724;724;;
;13;725;725;;
;15;726;726;;
;16;727;727;;
;10;728;728;;
;21;729;729;;
;16;730;730;;
;24;731;731;;
;13;732;732;;
;24;733;733;;
;15;734;734;;
;24;735;735;;
;33;736;736;;
;20;737;737;;
;17;738;738;;
;21;739;739;;
;17;740;740;;
;22;741;741;;
;25;742;742;;
;21;743;743;;
;23;744;744;;
;22;745;745;;
;6;746;746;;
;27;747;747;;
;22;748;748;;
;22;749;749;;
;19;750;750;;
;28;751;751;;
;20;752;752;;
;30;753;753;;
;31;754;754;;
;30;755;755;;
;29;756;756;;
;21;757;757;;
;19;758;758;;
;24;759;759;;
;20;760;760;;
;27;761;761;;
;22;762;762;;
;20;763;763;;
;13;764;764;;
;18;765;765;;
;17;766;766;;
;15;767;767;;
;14;768;768;;
;15;769;769;;
;12;770;770;;
;11;771;771;;
;6;772;772;;
;13;773;773;;
;17;774;774;;
;11;775;775;;
;7;776;776;;
;7;777;777;;
;12;778;778;;
;10;779;779;;
;7;780;780;;
;7;781;781;;
;7;782;782;;
;5;783;783;;
;5;784;784;;
;5;785;785;;
;5;786;786;;
;3;787;787;;
;10;788;788;;
;4;789;789;;
;11;790;790;;
;2;791;791;;
;5;792;792;;
;3;793;793;;
;3;794;794;;
;4;795;795;;
;1;796;796;;
;2;797;797;;
;1;798;798;;
;1;799;799;;
;0;800;800;;
;1;801;801;;
;2;802;802;;
;4;803;803;;
;1;804;804;;
;2;805;805;;
;1;806;806;;
;0;807;807;;
;1;808;808;;
;1;809;809;;
;1;810;810;;
;1;811;811;;
;3;812;812;;
;1;813;813;;
;1;814;814;;
;1;815;815;;
;1;816;816;;
;2;817;817;;
;2;818;818;;
;1;819;819;;
;0;820;820;;
;0;821;821;;
;0;822;822;;
;1;823;823;;
;1;824;824;;
;0;825;825;;
;1;826;826;;
;0;827;827;;
;1;828;828;;
;1;829;829;;
;0;830;830;;
;1;831;831;;
;2;832;832;;
;0;833;833;;
;0;834;834;;
;0;835;835;;
;0;836;836;;
;2;837;837;;
;1;838;838;;
;0;839;839;;
;1;840;840;;
;0;841;841;;
;0;842;842;;
;1;843;843;;
;1;844;844;;
;2;845;845;;
;0;846;846;;
;1;847;847;;
;1;848;848;;
;2;849;849;;
;3;850;850;;
;1;851;851;;
;1;852;852;;
;1;853;853;;
;0;854;854;;
;2;855;855;;
;0;856;856;;
;0;857;857;;
;0;858;858;;
;1;859;859;;
;3;860;860;;
;2;861;861;;
;0;862;862;;
;1;863;863;;
;1;864;864;;
;1;865;865;;
;0;866;866;;
;0;867;867;;
;0;868;868;;
;1;869;869;;
;1;870;870;;
;0;871;871;;
;0;872;872;;
;0;873;873;;
;0;874;874;;
;1;875;875;;
;0;876;876;;
;1;877;877;;
;1;878;878;;
;1;879;879;;
;1;880;880;;
;1;881;881;;
;2;882;882;;
;1;883;883;;
;0;884;884;;
;0;885;885;;
;0;886;886;;
;0;887;887;;
;0;888;888;;
;0;889;889;;
;0;890;890;;
;0;891;891;;
;1;892;892;;
;0;893;893;;
;0;894;894;;
;0;895;895;;
;0;896;896;;
;1;897;897;;
;1;898;898;;
;0;899;899;;
;1;900;900;;
;1;901;901;;
;0;902;902;;
;0;903;903;;
;0;904;904;;
;2;905;905;;
;0;906;906;;
;0;907;907;;
;0;908;908;;
;0;909;909;;
;0;910;910;;
;0;911;911;;
;0;912;912;;
;0;913;913;;
;0;914;914;;
;0;915;915;;
;0;916;916;;
;0;917;917;;
;0;918;918;;
;1;919;919;;
;0;920;920;;
;0;921;921;;
;0;922;922;;
;0;923;923;;
;0;924;924;;
;0;925;925;;
;0;926;926;;
;0;927;927;;
;1;928;928;;
;0;929;929;;
;1;930;930;;
;1;931;931;;
;1;932;932;;
;0;933;933;;
;0;934;934;;
;0;935;935;;
;0;936;936;;
;0;937;937;;
;0;938;938;;
;0;939;939;;
;0;940;940;;
;0;941;941;;
;1;942;942;;
;2;943;943;;
;0;944;944;;
;0;945;945;;
;0;946;946;;
;0;947;947;;
;0;948;948;;
;0;949;949;;
;0;950;950;;
;0;951;951;;
;1;952;952;;
;0;953;953;;
;0;954;954;;
;0;955;955;;
;0;956;956;;
;0;957;957;;
;0;958;958;;
;0;959;959;;
;1;960;960;;
;0;961;961;;
;0;962;962;;
;1;963;963;;
;0;964;964;;
;0;965;965;;
;0;966;966;;
;1;967;967;;
;0;968;968;;
;0;969;969;;
;0;970;970;;
;0;971;971;;
;0;972;972;;
;0;973;973;;
;0;974;974;;
;0;975;975;;
;0;976;976;;
;1;977;977;;
;1;978;978;;
;0;979;979;;
;0;980;980;;
;0;981;981;;
;1;982;982;;
;0;983;983;;
;0;984;984;;
;0;985;985;;
;0;986;986;;
;0;987;987;;
;0;988;988;;
;0;989;989;;
;0;990;990;;
;0;991;991;;
;0;992;992;;
;0;993;993;;
;0;994;994;;
;1;995;995;;
;0;996;996;;
;0;997;997;;
;0;998;998;;
;0;999;999;;
;0;1000;1000;;
;0;1001;1001;;
;0;1002;1002;;
;0;1003;1003;;
;1;1004;1004;;
;1;1005;1005;;
;1;1006;1006;;
;0;1007;1007;;
;0;1008;1008;;
;0;1009;1009;;
;0;1010;1010;;
;0;1011;1011;;
;0;1012;1012;;
;0;1013;1013;;
;0;1014;1014;;
